Anzahl Profilkoordinaten
       159
 Profilopt_PODFoil
  0.3198767642386944E+00  0.6403080958297906E-01
  0.3044379107639454E+00  0.6445494996491533E-01
  0.2894173199936483E+00  0.6464729638615756E-01
  0.2748036605365037E+00  0.6461989469073416E-01
  0.2605859079863379E+00  0.6436884282038749E-01
  0.2467533366053944E+00  0.6394627266096727E-01
  0.2332955112329407E+00  0.6338019790311578E-01
  0.2202022794130800E+00  0.6262404506526664E-01
  0.2074637637358363E+00  0.6166563194607629E-01
  0.1950703543857290E+00  0.6056914129717372E-01
  0.1830127018922193E+00  0.5936069752744683E-01
  0.1712817100765589E+00  0.5796702564663382E-01
  0.1598685291897182E+00  0.5638098798172733E-01
  0.1487645492362200E+00  0.5467107683143489E-01
  0.1379613934788400E+00  0.5287667037483661E-01
  0.1274509121192762E+00  0.5099633234463628E-01
  0.1172251761500185E+00  0.4898578011444872E-01
  0.1072764713727794E+00  0.4687078741299928E-01
  0.9759729257897742E-01  0.4470104478520439E-01
  0.8818033788787760E-01  0.4245533977973358E-01
  0.7901850323812309E-01  0.4007037961809524E-01
  0.7010487702849755E-01  0.3759777854091247E-01
  0.6143273490387935E-01  0.3514634832024310E-01
  0.5299553468245133E-01  0.3257181933078446E-01
  0.4478691142034164E-01  0.2965642334909417E-01
  0.3680067260996922E-01  0.2646810127795524E-01
  0.2903079350847615E-01  0.2307396601909189E-01
  0.2147141259271734E-01  0.1927864354086245E-01
  0.1411682713738449E-01  0.1489080768754478E-01
  0.6961488912922809E-02  0.9128170147185800E-02
  0.0000000000000000E+00 -0.7583219739633114E-07
  0.7142514859350579E-02 -0.2992927397385647E-01
  0.1448909179276531E-01 -0.4057497110251508E-01
  0.2204556086582921E-01 -0.4761463642147810E-01
  0.2981791870944739E-01 -0.5240543957184373E-01
  0.3781233327862649E-01 -0.5575294735295961E-01
  0.4603514874721426E-01 -0.5799972738530357E-01
  0.5449289054248241E-01 -0.5937331272567436E-01
  0.6319227052354759E-01 -0.6004655826023093E-01
  0.7214019230774033E-01 -0.6009653681501604E-01
  0.8134375674914868E-01 -0.5964161802072666E-01
  0.9081026757368399E-01 -0.5897996676381798E-01
  0.1005472371751411E+00 -0.5760986133419348E-01
  0.1105623925768521E+00 -0.5533453882771432E-01
  0.1208636815636647E+00 -0.5231155157958828E-01
  0.1314592789891125E+00 -0.4880628298394555E-01
  0.1423575932627800E+00 -0.4501234719949798E-01
  0.1535672730230138E+00 -0.4116334453799325E-01
  0.1650972140002717E+00 -0.3734119414723210E-01
  0.1769565660765595E+00 -0.3353836770279414E-01
  0.1891547405465560E+00 -0.2975468795784908E-01
  0.2017014175861881E+00 -0.2599675557753637E-01
  0.2146065539345844E+00 -0.2230506744404759E-01
  0.2278803907955021E+00 -0.1873064083439070E-01
  0.2415334619644987E+00 -0.1529502031861823E-01
  0.2555766021882965E+00 -0.1199868475168476E-01
  0.2700209557629760E+00 -0.8858173015673949E-02
  0.2848779853778189E+00 -0.5937738939568165E-02
  0.3001594812118213E+00 -0.3276386467779090E-02
  0.3158775702900934E+00 -0.8640243724650080E-03
  0.3320447261075742E+00  0.1262596976133593E-02
  0.3486737785276941E+00  0.3025001124833173E-02
  0.3657779239638446E+00  0.4383504145306583E-02
  0.3833707358517319E+00  0.5334946044836014E-02
  0.4014661754209270E+00  0.5835424723107843E-02
  0.4200786027741600E+00  0.5822446025944400E-02
  0.4392227882831493E+00  0.5332777379436977E-02
  0.4589139243100110E+00  0.4390966761510117E-02
  0.4791676372635502E+00  0.2974810482432499E-02
  0.5000000000000000E+00  0.1131153182987722E-02
  0.5203186738478984E+00 -0.9425564380489159E-03
  0.5400868830198805E+00 -0.3149734145783925E-02
  0.5593195404655659E+00 -0.5409694744874202E-02
  0.5780311551194284E+00 -0.7646145189517332E-02
  0.5962358428461982E+00 -0.9786153725571362E-02
  0.6139473370897373E+00 -0.1177782759614524E-01
  0.6311789992334186E+00 -0.1359503485603822E-01
  0.6479438286798269E+00 -0.1522817728805638E-01
  0.6642544726573858E+00 -0.1666225505459896E-01
  0.6801232357613056E+00 -0.1788258293327775E-01
  0.6955620892360546E+00 -0.1887749001858513E-01
  0.7105826800063517E+00 -0.1963783452613135E-01
  0.7251963394634963E+00 -0.2019003245598004E-01
  0.7394140920136621E+00 -0.2053298505417343E-01
  0.7532466633946056E+00 -0.2065521826136663E-01
  0.7667044887670593E+00 -0.2056547399992180E-01
  0.7797977205869200E+00 -0.2027843049915019E-01
  0.7925362362641637E+00 -0.1978377027734193E-01
  0.8049296456142710E+00 -0.1909754176985979E-01
  0.8169872981077807E+00 -0.1831042308593410E-01
  0.8287182899234411E+00 -0.1748694562476350E-01
  0.8401314708102818E+00 -0.1663203759285227E-01
  0.8512354507637800E+00 -0.1574832479868973E-01
  0.8620386065211600E+00 -0.1484970005863809E-01
  0.8725490878807238E+00 -0.1394386896496583E-01
  0.8827748238499815E+00 -0.1303540263408339E-01
  0.8927235286272206E+00 -0.1213569108901803E-01
  0.9024027074210226E+00 -0.1126011801893292E-01
  0.9118196621121224E+00 -0.1040292620675886E-01
  0.9209814967618769E+00 -0.9551199413257890E-02
  0.9298951229715025E+00 -0.8717154375842195E-02
  0.9385672650961207E+00 -0.7950301341597792E-02
  0.9470044653175487E+00 -0.7293973508962466E-02
  0.9552130885796584E+00 -0.6836863597708021E-02
  0.9631993273900308E+00 -0.6688597654894966E-02
  0.9709692064915239E+00 -0.6592552047490197E-02
  0.9785285874072827E+00 -0.6451360290036672E-02
  0.9858831728626155E+00 -0.6435199189531438E-02
  0.9930385110870772E+00 -0.6326057235699740E-02
  0.1000000000000000E+01  0.0000000000000000E+00
