Anzahl Profilkoordinaten
       205
Airfoil
  3.7220184311450820E-01  8.0539456036378010E-02
  3.6013278632288620E-01  8.0366676129680080E-02
  3.4822990708026097E-01  8.0105310934622700E-02
  3.3649163086418870E-01  7.9756665181701880E-02
  3.2491635705810410E-01  7.9323745332906870E-02
  3.1350248108481704E-01  7.8809440589729290E-02
  3.0224835670759875E-01  7.8216876028508920E-02
  2.9115249768778490E-01  7.7546644561963720E-02
  2.8021380210818114E-01  7.6794122490090630E-02
  2.6943098607296810E-01  7.5959290852873420E-02
  2.5880259444212240E-01  7.5044905182836710E-02
  2.4832712795896167E-01  7.4053973198798220E-02
  2.3800319569993220E-01  7.2988241415798140E-02
  2.2782961878633476E-01  7.1847675116126470E-02
  2.1780536145826568E-01  7.0631565860394030E-02
  2.0792926316690080E-01  6.9340679561373020E-02
  1.9819984567113513E-01  6.7978382458214510E-02
  1.8861580776311912E-01  6.6546520093282640E-02
  1.7917642092067007E-01  6.5043478125133110E-02
  1.6988092376567152E-01  6.3468330305458700E-02
  1.6072803844175540E-01  6.1823605082527860E-02
  1.5171640578702114E-01  6.0112102704598200E-02
  1.4284537829982355E-01  5.8332993049946436E-02
  1.3411417217158590E-01  5.6486403557302030E-02
  1.2552207894976014E-01  5.4572475037833220E-02
  1.1706882581396881E-01  5.2589662360780310E-02
  1.0875445715728121E-01  5.0535650170748420E-02
  1.0057953336271452E-01  4.8406750305718750E-02
  9.2544691207063140E-02  4.6199790740633705E-02
  8.4650820547671060E-02  4.3911554713384980E-02
  7.6899481897370430E-02  4.1537247593381184E-02
  6.9295103512894310E-02  3.9064594221103026E-02
  6.1842619957222440E-02  3.6481941745009810E-02
  5.4538254711080744E-02  3.3804238315557280E-02
  4.7383209188594590E-02  3.1029853314444170E-02
  4.0389290880433410E-02  2.8139236435181476E-02
  3.3567099673647650E-02  2.5094887303782280E-02
  2.6938477587962244E-02  2.1915834262489940E-02
  2.0515295391683293E-02  1.8470120647155787E-02
  1.4371318611797303E-02  1.4788587097424408E-02
  8.6279336250588460E-03  1.1131564673894312E-02
  2.9028625177804444E-03  4.4673324015236360E-03
  8.6736173798840350E-19  2.1684043449710089E-19
  3.0091464634608473E-03 -4.5251390900199140E-03
  9.0177255764841340E-03 -1.0836060636859756E-02
  1.5310583755316111E-02 -1.3609727436006499E-02
  2.2108606139476083E-02 -1.6077816654434290E-02
  2.9164140947442598E-02 -1.7980983040681680E-02
  3.6404599727284480E-02 -1.9543645001440256E-02
  4.3803825500344166E-02 -2.0858470343662363E-02
  5.1343634915823395E-02 -2.1957359698107987E-02
  5.9015379771250770E-02 -2.2883932309512220E-02
  6.6813073451401700E-02 -2.3660480801552055E-02
  7.4733407407396940E-02 -2.4308371859534120E-02
  8.2773664420656870E-02 -2.4855863689864054E-02
  9.0932825203825720E-02 -2.5322211884067270E-02
  9.9213057903694240E-02 -2.5675117176628780E-02
  1.0761456512109133E-01 -2.5903624834080572E-02
  1.1613690970628882E-01 -2.6018875194159467E-02
  1.2478019948516324E-01 -2.6040548571211262E-02
  1.3354520373130450E-01 -2.5984680120244310E-02
  1.4243316988180060E-01 -2.5863883196504270E-02
  1.5144570468460900E-01 -2.5694523220485935E-02
  1.6058454286699694E-01 -2.5485065828537420E-02
  1.6985135957336860E-01 -2.5236803245836145E-02
  1.7924784022281345E-01 -2.4949689765146978E-02
